original_product,mapped_product,version,normalized_versions,found_in,matched_version,is_blue
ATMs,ATMs,ATM,atm,NOT FOUND,N/A,True
TS1090 Tape Drive,TS1090 Tape Drive,TS1090 Tape Drive,ts1090 tape drive,NOT FOUND,N/A,True
Cloud Pak for Security,Cloud Pak for Security,Cloud Pak for Security,cloud pak for security,NOT FOUND,N/A,True
z14,z14,Z Servers,z servers,NOT FOUND,N/A,True
Citrix MetaFrame,Citrix MetaFrame,Citrix MetaFrame,citrix metaframe,NOT FOUND,N/A,True
Maximo Application Suite on Cloud,Maximo Application Suite on Cloud,Maximo Application Suite on Cloud,maximo application suite on cloud,NOT FOUND,N/A,True
SAN Volume Controller,SAN Volume Controller,SAN Volume Controller,san volume controller,NOT FOUND,N/A,True
QRadar SIEM,IBM Security QRadar SIEM,QRadar SIEM,qradar siem,NOT FOUND,N/A,True
z17,z17,Z Servers,z servers,NOT FOUND,N/A,True
Cash Recycling Automatic Teller Machine,Cash Recycling Automatic Teller Machine,Cash Recycling Automatic Teller Machine,cash recycling automatic teller machine,NOT FOUND,N/A,True
Printers,Printers,Printer,printer,NOT FOUND,N/A,True
Consumer Trusteer Rapport,Consumer Trusteer Rapport,Consumer Trusteer Rapport,consumer trusteer rapport,NOT FOUND,N/A,True
Power System S922 Server,Power System S922 Server,Power System S922 Server,power system s922 server,NOT FOUND,N/A,True
Robotic Process Automation,IBM Robotic Process Automation,Robotic Process Automation,robotic process automation,NOT FOUND,N/A,True
LinuxONE Emperor 4,LinuxONE Emperor 4,Z Servers,z servers,NOT FOUND,N/A,True
z/OS,z/OS,Z/OS,z/os,NOT FOUND,N/A,True
Partner Ecosystem Support,Partner Ecosystem Support,eCare,ecare,NOT FOUND,N/A,True
Storage Fusion HCI Physical Appliance,Storage Fusion HCI Physical Appliance,Spectrum Fusion HCI,spectrum fusion hci,NOT FOUND,N/A,True
FlashSystem 5000,FlashSystem 5000,FlashSystem 5000,flashsystem 5000,NOT FOUND,N/A,True
webMethods Integration SaaS,webMethods Integration SaaS,webMethods Integration SaaS,webmethods integration saas,NOT FOUND,N/A,True
Power System Hardware Management Console Physical Appliance,Power System Hardware Management Console Physical Appliance,Power System Hardware Management Console Physical Appliance,power system hardware management console physical appliance,NOT FOUND,N/A,True
IBM i,IBM i,IBM i,ibm i,NOT FOUND,N/A,True
Power System E880C Server,Power System E880C Server,Power System E880C Server,power system e880c server,NOT FOUND,N/A,True
Workload Scheduler,Workload Scheduler,Workload Scheduler,workload scheduler,NOT FOUND,N/A,True
Labor Only Project Services,Labor Only Project Services,Labor Only Project Services,labor only project services,NOT FOUND,N/A,True
DS8900F,DS8900F,DS8900F,ds8900f,NOT FOUND,N/A,True
Hardware Management Console Application,Hardware Management Console Application,Hardware Management Console (HMC) for Power,hardware management console (hmc) for power,NOT FOUND,N/A,True
QRadar SOAR,QRadar SOAR,QRadar SOAR,qradar soar,NOT FOUND,N/A,True
Aspera,Aspera,"Aspera High-Speed Transfer Server (ES, CS)","aspera high-speed transfer server (es, cs)",NOT FOUND,N/A,True
