Product Name,Invalid Version String,Reason,Total Tickets Affected
IBM i,7.3 [EOS 30 Sep 2023 Need Service Extension],Too many words (8),9682
AIX,7.1 (EOS 4/30/2023),Matches pattern: \(.*\),2584
Copy Services Manager,DS8000 for Z and Open systems (including HDS),Matches pattern: \(.*\),2298
Verify Identity Governance,V.10.0.2 - Identity Manager (ISIM - Software),Matches pattern: \(.*\),2099
z/OS,2.4.0 (EOS - Sept 2024),Matches pattern: \(.*\),2020
Verify Identity Governance,V.10.0.2 - Identity Governance (IGI),Matches pattern: \(.*\),1856
IBM i,7.2 [EOS 30 April 2021 Need Service Extension],Too many words (8),1664
Verify Identity Governance,V.10.0.2 - Identity Manager (ISIM - Appliance),Matches pattern: \(.*\),1563
CICS Transaction Server,CICS TS 5.5 - EOS 30 Sept 2025,Too many words (8),1452
IMS,15.3 (EOS 31 August 2026),Matches pattern: \(.*\),1056
Verify Identity Governance,V.10.0.1 - Identity Manager (ISIM - Software),Matches pattern: \(.*\),1005
Sterling Gentran Server,Gentran Server for Windows - 5.3.1,Too many words (6),999
z/OS,2.3.0 (EOS - Sept 2022),Matches pattern: \(.*\),909
Verify Identity Governance,V.10.0.1 - Identity Manager (ISIM - Appliance),Matches pattern: \(.*\),828
Application Discovery and Delivery Intelligence,Application Discovery and Delivery Intelligence 6.1.3,Too long (53 chars),828
Storage Scale System Software,Storage Scale System Software Data Access Edition v5.1.9,Too long (56 chars),698
Storage Scale System Software,Storage Scale System Software Data Management Edition v5.1.9,Too long (60 chars),644
IMS,15.4 (EOS 31 August 2027),Matches pattern: \(.*\),627
Sterling Gentran Server,Gentran Server for iSeries - 3.6.0,Too many words (6),619
Storage Scale System Software,Storage Scale System Data Management Edition v5.2.3,Too long (51 chars),613
Security Verify Governance,V.10.0.1 - Identity Manager (ISIM - Software),Matches pattern: \(.*\),589
Maximo Application Suite,9.0 (9.1 Feature Channel),Matches pattern: \(.*\),571
Storage Scale System Software,Storage Scale System Data Management Edition v5.2.2,Too long (51 chars),485
Verify Identity Governance,V.10.0.1 - Identity Governance (IGI),Matches pattern: \(.*\),478
Copy Services Manager,"Other Non-DS8000 (includes SVC, XIV, FlashSystems & Storwize)",Too long (61 chars),478
Tivoli Network Manager,4.2.0.21 (Build 311),Matches pattern: \(.*\),475
Security Verify Governance,V.10.0.2 - Identity Manager (ISIM - Software),Matches pattern: \(.*\),465
Security Verify Governance,V.10.0.2 - Identity Governance (IGI),Matches pattern: \(.*\),456
Debug for z/OS,"16.0.x (EOS, 2026-04-30)",Matches pattern: \(.*\),455
Verify Identity Governance,V.10.0.0 - Identity Manager (ISIM - Software),Matches pattern: \(.*\),427
Security Verify Governance,V.10.0.1 - Identity Governance (IGI),Matches pattern: \(.*\),419
Application Discovery and Delivery Intelligence,Application Discovery and Delivery Intelligence 6.1.2,Too long (53 chars),404
Security Verify Governance,V.10.0.2 - Identity Manager (ISIM - Appliance),Matches pattern: \(.*\),398
Security Verify Governance,V.10.0.1 - Identity Manager (ISIM - Appliance),Matches pattern: \(.*\),391
Storage Scale System Software,Storage Scale Data Management Edition for IBM Storage Scale System v5.1.8,Too long (73 chars),385
IBM i,Early Ship Program Only - IBM i,Too many words (7),382
IMS,15.2 (EOS 30 June 2025),Matches pattern: \(.*\),342
z/OS,3.2 (RBP clients only),Matches pattern: \(.*\),322
Tivoli Network Manager,4.2.0.19 (Build 253),Matches pattern: \(.*\),320
Security Verify Governance,V.10.0.0 - Identity Manager (ISIM - Software),Matches pattern: \(.*\),307
AIX,6.1 (EOS 4/30/2017),Matches pattern: \(.*\),306
Storage Scale System Software,Storage Scale System Data Access Edition v5.2.3,Too many words (7),298
z/OS,2.2.0 (EOS - Sept 2020),Matches pattern: \(.*\),295
Storage Scale System Software,Storage Scale System Data Access Edition 5.2.1,Too many words (7),294
VM Recovery Manager,VM Recovery Manager for DR v1.8.0,Too many words (6),291
Storage Scale System Software,Storage Scale System Data Management Edition 5.2.1,Too many words (7),279
Tivoli Network Manager,4.2.0.16 (Build 177),Matches pattern: \(.*\),275
BACC Cognos On Cloud,User Acceptance Testing (UAT),Matches pattern: \(.*\),271
Verify Identity Governance,V.10.0.0 - Identity Governance (IGI),Matches pattern: \(.*\),271
COBOL,"Enterprise COBOL for z/OS, V6.3 (EOS, 9/30/2025)",Matches pattern: \(.*\),270
Tivoli Network Manager,4.2.0.18 (Build 207),Matches pattern: \(.*\),257
IBM i on PowerVS,7.3 [EOS 30 September 2023 Need Service Extension],Too many words (8),254
Storage Scale System Software,Storage Scale System Data Access Edition v5.2.2,Too many words (7),249
Sterling B2B Integrator,5.2.6 (not supported),Matches pattern: \(.*\),227
Storage Scale System Software,Spectrum Scale Data Access Edition for ESS 5.1.0,Too many words (8),225
EDB Enterprise Postgres,EDB Postgres Advance Server (EPAS) v14.x,Matches pattern: \(.*\),214
