Product Name,Product Version,Mapped Product Name,Lifecycle Color,Match Type,Match Details
ATMs,nan,ATMs,blue,no_match,Empty or null version
TS1090 Tape Drive,nan,TS1090 Tape Drive,blue,no_match,Empty or null version
Cloud Pak for Security,nan,Cloud Pak for Security,blue,no_match,Empty or null version
z14,nan,z14,blue,no_match,Empty or null version
Citrix MetaFrame,nan,Citrix MetaFrame,blue,no_match,Empty or null version
Maximo Application Suite on Cloud,nan,Maximo Application Suite on Cloud,blue,no_match,Empty or null version
SAN Volume Controller,8.5,SAN Volume Controller,blue,no_match,"No match found for product 'SAN Volume Controller' (mapped from 'SAN Volume Controller'), version '8.5'"
QRadar SIEM,7.5.0.15,IBM Security QRadar SIEM,green,exact,"Exact match: product='ibm security qradar siem', version='7.5.x'"
z17,nan,z17,blue,no_match,Empty or null version
Cash Recycling Automatic Teller Machine,nan,Cash Recycling Automatic Teller Machine,blue,no_match,Empty or null version
Printers,nan,Printers,blue,no_match,Empty or null version
Consumer Trusteer Rapport,nan,Consumer Trusteer Rapport,blue,no_match,Empty or null version
Power System S922 Server,nan,Power System S922 Server,blue,no_match,Empty or null version
Robotic Process Automation,30.0.2,IBM Robotic Process Automation,green,exact,"Exact match: product='ibm robotic process automation', version='30.0.x'"
LinuxONE Emperor 4,nan,LinuxONE Emperor 4,blue,no_match,Empty or null version
z/OS,3.1.0,z/OS,green,exact,"Exact match: product='z/os', version='3.1.0'"
Partner Ecosystem Support,nan,Partner Ecosystem Support,blue,no_match,Empty or null version
Storage Fusion HCI Physical Appliance,2.12.0,Storage Fusion HCI Physical Appliance,blue,no_match,"No match found for product 'Storage Fusion HCI Physical Appliance' (mapped from 'Storage Fusion HCI Physical Appliance'), version '2.12.0'"
FlashSystem 5000,nan,FlashSystem 5000,blue,no_match,Empty or null version
webMethods Integration SaaS,nan,webMethods Integration SaaS,blue,no_match,Empty or null version
z/OS,2.5.0,z/OS,orange,exact,"Exact match: product='z/os', version='2.5.0'"
Power System Hardware Management Console Physical Appliance,nan,Power System Hardware Management Console Physical Appliance,blue,no_match,Empty or null version
IBM i,7.4,IBM i,green,exact,"Exact match: product='ibm i', version='7.4.x'"
